ID:f-0000000001, Claim Date: Fri Nov 10 17:28:47 ICT 2023, Insured Person: Le Van Linh(c-0000007), Card Number: 419018775, Exam Date: Sun Apr 07 17:28:47 ICT 2024, Documents: [Witness Statements, Witness Statements], Claim amount: 664, Status: NEW, Receiver Banking Info: MB Bank-LeVanLinh-245909204036
ID:f-0000000002, Claim Date: Wed Jun 28 17:28:47 ICT 2023, Insured Person: Tran Phuong Mai(c-0000018), Card Number: 1033524712, Exam Date: Sun Apr 07 17:28:47 ICT 2024, Documents: [Insurance Card, Proof of Loss], Claim amount: 60, Status: NEW, Receiver Banking Info: Techcombank-TranPhuongMai-522865295665
ID:f-0000000003, Claim Date: Sat May 27 17:28:47 ICT 2023, Insured Person: Dao Phuong Nghia(c-0000011), Card Number: 408306068, Exam Date: Sun Apr 07 17:28:47 ICT 2024, Documents: [Police Report, Proof of Loss], Claim amount: 812, Status: NEW, Receiver Banking Info: Vietcombank-DaoPhuongNghia-617575795944
ID:f-0000000004, Claim Date: Tue Jan 03 17:28:47 ICT 2023, Insured Person: Dao Phuong Nghia(c-0000011), Card Number: 408306068, Exam Date: Sun Apr 07 17:28:47 ICT 2024, Documents: [Insurance Card, Witness Statements], Claim amount: 262, Status: NEW, Receiver Banking Info: SHB-DaoPhuongNghia-662674294333
ID:f-0000000005, Claim Date: Sun May 28 17:28:47 ICT 2023, Insured Person: Tran Phuong Dat(c-0000014), Card Number: 358032529, Exam Date: Sun Apr 07 17:28:47 ICT 2024, Documents: [Witness Statements, Police Report], Claim amount: 129, Status: NEW, Receiver Banking Info: VP Bank-TranPhuongDat-919916313377
ID:f-0000000006, Claim Date: Tue Feb 21 17:28:47 ICT 2023, Insured Person: Tran Phuong Dat(c-0000014), Card Number: 358032529, Exam Date: Sun Apr 07 17:28:47 ICT 2024, Documents: [Witness Statements, Witness Statements], Claim amount: 489, Status: NEW, Receiver Banking Info: MB Bank-TranPhuongDat-193949602008
ID:f-0000000007, Claim Date: Fri Jun 16 17:28:47 ICT 2023, Insured Person: Tran Duc Linh(c-0000017), Card Number: 637366593, Exam Date: Sun Apr 07 17:28:47 ICT 2024, Documents: [Police Report, Doctor's Prescription], Claim amount: 222, Status: NEW, Receiver Banking Info: BIDV-TranDucLinh-598759025140
ID:f-0000000008, Claim Date: Mon Dec 18 17:28:47 ICT 2023, Insured Person: Dao Duc Hai(c-0000010), Card Number: 1458614324, Exam Date: Sun Apr 07 17:28:47 ICT 2024, Documents: [Proof of Loss, Insurance Card], Claim amount: 884, Status: NEW, Receiver Banking Info: SHB-DaoDucHai-141397407405
ID:f-0000000009, Claim Date: Sun Oct 22 17:28:47 ICT 2023, Insured Person: Le Van Linh(c-0000007), Card Number: 419018775, Exam Date: Sun Apr 07 17:28:47 ICT 2024, Documents: [Proof of Loss, Doctor's Prescription], Claim amount: 121, Status: NEW, Receiver Banking Info: VP Bank-LeVanLinh-566459680329
ID:f-0000000010, Claim Date: Sun Sep 03 17:28:47 ICT 2023, Insured Person: Dao Phuong Mai(c-0000009), Card Number: 7830095, Exam Date: Sun Apr 07 17:28:47 ICT 2024, Documents: [Proof of Loss, Police Report], Claim amount: 781, Status: NEW, Receiver Banking Info: Vietcombank-DaoPhuongMai-267847571004
ID:f-0000000011, Claim Date: Mon Nov 06 17:28:47 ICT 2023, Insured Person: Nguyen Mai Mai(c-0000040), Card Number: 7830095, Exam Date: Sun Apr 07 17:28:47 ICT 2024, Documents: [Medical Records, Insurance Card], Claim amount: 75, Status: NEW, Receiver Banking Info: BIDV-NguyenMaiMai-821539554775
