ID:f-0000000001, Claim Date: Fri Nov 03 14:17:38 ICT 2023, Insured Person: Le Duc Linh(c-0000013), Card Number: 903563884, Exam Date: Sun Apr 07 14:17:38 ICT 2024, Documents: [Medical Records, Proof of Loss], Claim amount: 867, Status: NEW, Receiver Banking Info: Techcombank-LeDucLinh-382502898022
ID:f-0000000002, Claim Date: Fri Aug 25 14:17:38 ICT 2023, Insured Person: Nguyen Van Hai(c-0000011), Card Number: 1872787202, Exam Date: Sun Apr 07 14:17:38 ICT 2024, Documents: [Witness Statements, Police Report], Claim amount: 383, Status: NEW, Receiver Banking Info: Vietcombank-NguyenVanHai-448261186581
ID:f-0000000003, Claim Date: Sun Nov 19 14:17:38 ICT 2023, Insured Person: Le Van Mai(c-0000019), Card Number: 504474255, Exam Date: Sun Apr 07 14:17:38 ICT 2024, Documents: [Insurance Card, Doctor's Prescription], Claim amount: 768, Status: NEW, Receiver Banking Info: SHB-LeVanMai-955557046064
ID:f-0000000004, Claim Date: Wed Aug 02 14:17:38 ICT 2023, Insured Person: Pham Thi Anh(c-0000016), Card Number: 70717792, Exam Date: Sun Apr 07 14:17:38 ICT 2024, Documents: [Doctor's Prescription, Insurance Card], Claim amount: 271, Status: NEW, Receiver Banking Info: Vietcombank-PhamThiAnh-258706965611
ID:f-0000000005, Claim Date: Sat Apr 15 14:17:38 ICT 2023, Insured Person: Tran Thi Linh(c-0000017), Card Number: 309480709, Exam Date: Sun Apr 07 14:17:38 ICT 2024, Documents: [Police Report, Medical Records], Claim amount: 967, Status: NEW, Receiver Banking Info: Techcombank-TranThiLinh-989390765311
ID:f-0000000006, Claim Date: Sun Sep 17 14:17:38 ICT 2023, Insured Person: Le Phuong Mai(c-0000006), Card Number: 430303759, Exam Date: Sun Apr 07 14:17:38 ICT 2024, Documents: [Insurance Card, Witness Statements], Claim amount: 483, Status: NEW, Receiver Banking Info: VP Bank-LePhuongMai-383952942971
ID:f-0000000007, Claim Date: Sat Mar 04 14:17:38 ICT 2023, Insured Person: Nguyen Van Hai(c-0000011), Card Number: 1872787202, Exam Date: Sun Apr 07 14:17:38 ICT 2024, Documents: [Medical Records, Proof of Loss], Claim amount: 95, Status: NEW, Receiver Banking Info: MB Bank-NguyenVanHai-142060926093
ID:f-0000000008, Claim Date: Thu Sep 21 14:17:38 ICT 2023, Insured Person: Le Duc Linh(c-0000013), Card Number: 903563884, Exam Date: Sun Apr 07 14:17:38 ICT 2024, Documents: [Witness Statements, Doctor's Prescription], Claim amount: 837, Status: NEW, Receiver Banking Info: Vietcombank-LeDucLinh-189461506197
ID:f-0000000009, Claim Date: Mon Sep 11 14:17:38 ICT 2023, Insured Person: Pham Thi Duy(c-0000018), Card Number: 1402656786, Exam Date: Sun Apr 07 14:17:38 ICT 2024, Documents: [Doctor's Prescription, Proof of Loss], Claim amount: 317, Status: NEW, Receiver Banking Info: BIDV-PhamThiDuy-144888991707
ID:f-0000000010, Claim Date: Mon May 29 14:17:38 ICT 2023, Insured Person: Le Phuong Hai(c-0000007), Card Number: 1154802463, Exam Date: Sun Apr 07 14:17:38 ICT 2024, Documents: [Witness Statements, Insurance Card], Claim amount: 695, Status: NEW, Receiver Banking Info: Techcombank-LePhuongHai-731184886549
ID:f-0000000011, Claim Date: Mon Oct 02 14:17:38 ICT 2023, Insured Person: Le Thi Linh(c-0000032), Card Number: 652492032, Exam Date: Sun Apr 07 14:17:38 ICT 2024, Documents: [Doctor's Prescription, Police Report], Claim amount: 185, Status: NEW, Receiver Banking Info: Techcombank-LeThiLinh-017921740254
ID:f-0000000012, Claim Date: Fri Jan 13 14:17:38 ICT 2023, Insured Person: Tran Mai Hai(c-0000036), Card Number: 1003383963, Exam Date: Sun Apr 07 14:17:38 ICT 2024, Documents: [Witness Statements, Doctor's Prescription], Claim amount: 339, Status: NEW, Receiver Banking Info: Vietcombank-TranMaiHai-097661669239
ID:f-0000000013, Claim Date: Sat Jun 17 14:17:38 ICT 2023, Insured Person: Tran Phuong Mai(c-0000049), Card Number: 1872787202, Exam Date: Sun Apr 07 14:17:38 ICT 2024, Documents: [Doctor's Prescription, Doctor's Prescription], Claim amount: 119, Status: NEW, Receiver Banking Info: SHB-TranPhuongMai-753022422789
